,0
Co67,1.487370562291352e-07
Co68,8.981175451506984e-07
Ni53,8.731454035906057e-08
Ni55,1.9306950308858304e-07
Ni56,3.626742189844474e-07
Ni57,4.916845561153001e-07
Ni59,2.91264495590386e-14
Ni65,1.4487188448810968e-07
Ni67,1.3015765990915446e-08
Ni69,6.972005349219003e-07
Cu57,2.247604911095098e-07
Cu58,3.386824085098369e-07
Cu59,2.9747990772369094e-07
Cu60,1.0053534501328673e-06
Cu61,1.5995806242434802e-07
Cu62,1.918318705646335e-07
Cu64,3.636400520831094e-08
Cu66,1.9321183107021594e-08
Cu67,1.2217007651896663e-08
Cu68,2.6277086868075243e-07
Cu68m,2.406437442076012e-07
Cu69,1.2567382681171262e-07
Cu70,8.821834277992456e-07
Cu71,2.757996100175455e-07
Cu72,3.659027737795402e-07
Cu73,5.647165458044919e-08
Zn59,2.0089012714649618e-07
Zn60,2.918782176130055e-07
Zn61,3.306781368203141e-07
Zn62,8.437275521703034e-08
Zn63,2.1614586900290033e-07
Zn65,1.4512653128825796e-07
Zn69,1.0813349113769943e-12
Zn69m,7.311194020218743e-08
Zn71,6.591962194057361e-08
Zn71m,3.0373234966029186e-07
Zn72,1.6603843031539603e-08
Zn73,2.61103016180607e-08
Zn74,5.976721409487063e-08
Zn75,4.4132409428310796e-07
Zn76,9.994281423823097e-08
Zn80,3.544548845483596e-07
Ga60,1.2283846205586854e-06
Ga62,1.937763031939506e-07
Ga63,2.742816018455764e-07
Ga64,8.637715946645533e-07
Ga65,2.2035012688212996e-07
Ga66,6.723189529896923e-07
Ga67,1.9154678567359617e-08
Ga68,1.8314889310011557e-07
Ga70,1.7981180105818463e-09
Ga72,7.206018158421361e-07
Ga73,5.4573694891892306e-08
Ga74,8.189826682701505e-07
Ga74m,6.368514725403868e-09
Ga75,1.252938474829077e-08
Ga76,7.521900996145016e-07
Ga77,9.66928017880612e-08
Ga78,6.565519344834055e-07
Ga79,5.804513639814552e-07
Ga80,6.032750949161027e-07
Ge64,2.2920591584582778e-07
Ge65,3.673805826932135e-07
Ge66,1.2300989145562566e-07
Ge67,2.7557511157422035e-07
Ge68,1.3116646042264355e-09
Ge69,2.2003361217582384e-07
Ge71,1.3436394429378526e-09
Ge71m,1.8440376239227154e-08
Ge73m,2.2650904576976003e-09
Ge75,4.7228489715808404e-09
Ge75m,6.123826764469741e-09
Ge77,2.1493271970981292e-07
Ge77m,1.0094873333227597e-08
Ge78,3.877361629999398e-08
Ge79,6.422453304153616e-08
Ge79m,2.549961710598645e-07
Ge80,7.634247743227152e-08
Ge81,6.430638114888955e-07
Ge81m,4.2405175458306704e-07
Ge82,2.6765518122808955e-07
As67,2.967588701847637e-07
As68,8.881125683330495e-07
As69,2.2316600736074747e-07
As70,9.660088186735127e-07
As71,1.026328082492501e-07
As72,3.8158631546529155e-07
As73,3.888290675850928e-09
As74,1.4997696441856816e-07
As76,9.017765165844937e-08
As77,1.2428921098675255e-09
As78,3.2054875639853825e-07
As79,6.785186248146256e-09
As80,1.4305937133029328e-07
As81,5.0816121250435454e-08
As82,8.19189137906883e-08
As82m,7.465362359051877e-07
As83,5.505926450208065e-07
As84,4.4540925595986495e-07
As85,9.087367042978378e-08
Se69,4.0552124202875973e-07
Se70,1.9688166391357824e-07
Se71,3.2542360972487775e-07
Se72,2.1211722713869874e-08
Se73,2.0013169803886584e-07
Se73m,5.231230939640572e-08
Se75,6.27204821208421e-08
Se77m,1.3863253998751958e-08
Se79m,9.777975910345998e-09
Se81,1.2818525124733543e-09
Se81m,1.0061428564326456e-08
Se83,6.252885270732451e-07
Se83m,2.4432836962088683e-07
Se84,6.924415244644889e-08
Se85,6.438777119352498e-07
Se87,1.6134143894869627e-07
Br71,1.44975224650469e-07
Br72,6.737088958577969e-07
Br72m,9.932703815194767e-09
Br73,2.787286314741493e-07
Br74,1.1905459507805626e-06
Br74m,9.426730605051815e-07
Br75,2.19100955557058e-07
Br76,6.912869393101498e-07
Br76m,5.769599455009117e-09
Br77,6.742916340795121e-08
Br77m,9.51063867686084e-09
Br78,1.9852963741111133e-07
Br79m,2.097716955456518e-08
Br80,1.569375100911181e-08
Br80m,1.8558498479029335e-08
Br82,6.058431424373129e-07
Br82m,9.304061423886786e-09
Br83,1.3218063445862889e-09
Br84,5.032818515158713e-07
Br84m,6.792656733767019e-07
Br85,1.4788901700920615e-08
Br86,9.695820359557953e-07
Br87,9.465241786191914e-07
Br88,9.236869850672385e-07
Br89,5.142212825244033e-07
Br90,4.225870955760165e-07
Br91,8.223310272987568e-08
Kr71,1.9406980062457568e-07
Kr72,2.3467400258654976e-07
Kr73,2.9893283869963086e-07
Kr74,2.025015247948623e-07
Kr75,2.400188183331648e-07
Kr76,7.869720824026575e-08
Kr77,1.8519000326619764e-07
Kr79,5.6058465503817385e-08
Kr79m,9.105585671006837e-09
Kr81,1.087011304469899e-08
Kr81m,1.7294956643052087e-08
Kr83m,4.2646408228521475e-09
Kr85,4.256682980819921e-10
Kr85m,1.8594069128973167e-08
Kr87,2.0581349795714765e-07
Kr88,5.603827172875486e-07
Kr89,4.928594596621254e-07
Kr90,3.1872435255267433e-07
Kr91,4.6826592536861994e-07
Kr92,3.3595646209603297e-07
Kr93,5.822003856169978e-07
Rb74,1.9383185481531502e-07
Rb76,8.486415981128708e-07
Rb77,3.0258350677952216e-07
Rb78,1.1058816765829686e-06
Rb78m,7.544811648092596e-07
Rb79,2.674784826867479e-07
Rb80,2.2796364495811983e-07
Rb81,1.230946009857041e-07
Rb81m,1.0566714856954182e-08
Rb82,2.1629467393482018e-07
Rb82m,6.690420366384797e-07
Rb83,1.0437140733888032e-07
Rb84,2.0400527599281777e-07
Rb84m,6.017388443732291e-08
Rb86,2.340301958963457e-08
Rb86m,1.0699808182354105e-07
Rb88,1.900593892192869e-07
Rb89,6.019225753948464e-07
Rb90,6.066423301161519e-07
Rb90m,9.212996586263091e-07
Rb91,6.953555140473194e-07
Rb92,5.35098931295966e-07
Rb93,7.712084839954638e-07
Rb94,7.384231785492932e-07
Rb95,7.245657948737724e-07
Rb96,4.445373317414291e-07
Rb97,1.1096556877068979e-07
Rb101,8.366888968725495e-08
Sr77,2.1882336686378777e-07
Sr79,2.2435175917548931e-07
Sr80,9.783053487016652e-08
Sr81,2.58103020850108e-07
Sr82,8.334585240024654e-09
Sr83,1.741107904038121e-07
Sr83m,3.140742405305647e-08
Sr85,1.0560444396413743e-07
Sr85m,2.7767354397228095e-08
Sr87m,5.4261439203752574e-08
Sr89,2.061395942184072e-11
Sr91,1.6552662015069314e-07
Sr92,3.6742761907032543e-07
Sr93,5.37875486150455e-07
Sr94,3.835603599416686e-07
Sr95,3.273462311855074e-07
Sr96,1.9744173625337384e-07
Sr98,9.797378270913288e-08
Sr99,3.422591168846575e-07
Y80,4.408973318725358e-07
Y81,2.1596136930382267e-07
Y82,2.4142981551090764e-07
Y83,2.952612355466174e-07
Y83m,2.208969382128831e-07
Y84,2.5281439111814785e-07
Y84m,9.103218013528677e-07
Y85,2.355106300344468e-07
Y85m,3.1115604214657633e-07
Y86,8.839828855297345e-07
Y86m,2.869600877384259e-08
Y87,9.024094981508537e-08
Y87m,5.142787070799588e-08
Y88,7.464677881910414e-07
Y89m,2.1387441125882564e-07
Y90,7.467323569223531e-15
Y90m,1.0377505235286662e-07
Y91,8.093266886995355e-10
Y91m,1.0335553996429666e-07
Y92,6.136857520835166e-08
Y93,2.323511463022395e-08
Y93m,1.2871166127248048e-07
Y94,1.88370547695367e-07
Y95,3.212987760483692e-07
Y96,2.4113256762449125e-08
